bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"4.9293282066658,52.27817419954609,5.02154319683453,52.3311599486827",uuuu,85633337,2017-10-10,d928c771261d691ca7980155fc190b05,,ace10f5ada5122b16be7af77d97c10ef,52.306558,4.973244,1108802293,uuuu,NL,NL,1513269517,52.306761,4.973228,101751893,Zuidoost,101751893,110/880/229/3/1108802293.geojson,borough,85687053,amsgis,1158844289,101751895,NL
"4.50597927651829,51.86877563822572,4.57632845431604,51.90564645874839",uuuu,85633337,,8f32d8703c807d9e07814585b3f4c7cb,,cf0645c3b8fdd0de037e079aa1214873,51.887840,4.543405,1158831761,uuuu,NL,NL,1513535657,51.887934,4.543246,101751843,IJsselmonde,101751843,115/883/176/1/1158831761.geojson,borough,85687041,cbsnl,,"1108805721,1108937945",NL
"4.33061353824467,51.84211825513447,4.38803097371331,51.87738225904241",uuuu,85633337,,2005773ab7055b25fd5a8e5e7bb9ed51,,82912d058dda09be04718448ea79401f,51.861728,4.363263,1158831763,uuuu,NL,NL,1513535660,51.865397,4.363059,101751843,Hoogvliet,101751843,115/883/176/3/1158831763.geojson,borough,85687041,cbsnl,,"1108805727,1108937955",NL
"3.95999091147741,51.8643017913781,4.33554008602883,51.99191787678365",uuuu,85633337,,c6ff8376626cf400b30a2d119269f6f3,,fa10786a9eb5f98b45f47d3964b5b3a3,51.933400,4.130867,1158831791,uuuu,NL,NL,1513535661,51.936362,4.169997,101751843,Botlek-Europoort-Maasvlakte,101751843,115/883/179/1/1158831791.geojson,borough,85687041,cbsnl,,"1108805737,1108937965",NL
"4.45682451222018,51.93949818361098,4.52890180055191,51.98054916040338",uuuu,85633337,,b73f2d23d2b4be178f075d0071e85ebc,,f066f2253e882f734de54b125a3324d6,51.957651,4.487372,1158831793,uuuu,NL,NL,1513535771,51.957877,4.486999,101751843,Hillegersberg-Schiebroek,101751843,115/883/179/3/1158831793.geojson,borough,85687041,cbsnl,,"1108805717,1108937951",NL
"4.04560198014175,51.93372746514365,4.21968772165247,52.00184112870213",uuuu,85633337,,4246e30ae86900d2fb738b2af7684c85,,113e39863f7c0faa7dc14f6cabe67816,51.970707,4.149127,1158831797,uuuu,NL,NL,1513535773,51.978051,4.140171,101751843,Hoek van Holland,101751843,115/883/179/7/1158831797.geojson,borough,85687041,cbsnl,,"1108805729,101751843",NL
"4.48450720482891,51.89996705442889,4.5424659464845,51.94892360904284",uuuu,85633337,,ae72f1c02163e1b58393b4dd6cf8c51b,,1cf2321d094344403df742e992f8d095,51.927182,4.515650,1158831799,uuuu,NL,NL,1513535774,51.933046,4.503392,101751843,Kralingen-Crooswijk,101751843,115/883/179/9/1158831799.geojson,borough,85687041,cbsnl,,"1108805719,1108938017",NL
"4.37213743271181,51.86641833361818,4.46341620042723,51.9024160860416",uuuu,85633337,,d0d0d4c2fdc438acf7f83966bc8e03f1,,364e6f37b427fcf4fc9da68017ed558a,51.885591,4.424650,1158831803,uuuu,NL,NL,1513535777,51.883767,4.425429,101751843,Waalhaven-Eemhaven,101751843,115/883/180/3/1158831803.geojson,borough,85687041,cbsnl,,"1108805731,1108937949",NL
"4.85571248545015,52.36822923651254,5.07916222004067,52.43067866256748",uuuu,85633337,,4699d4b233ed3584deae568fb05c1d2d,,381781bd14f3efc60378b35b6811a6bf,52.399956,4.976150,1158844277,uuuu,NL,NL,1513269530,52.402059,4.916316,101751893,Noord,101751893,115/884/427/7/1158844277.geojson,borough,85687053,amsgis,,"1108802291,1108945253",NL
"4.87443424290847,52.35793318755799,4.93296846349079,52.38869092910546",uuuu,85633337,,0812998b5467e2b2cd77cf7e4b82145d,,32ceff802c0a080e480f98df5916a053,52.371617,4.899732,1158844279,uuuu,NL,NL,1513269558,52.372165,4.895087,101751893,Centrum,101751893,115/884/427/9/1158844279.geojson,borough,85687053,amsgis,,"1108802283,1108945255",NL
